"ATC1","Name1","ATC2","Name2","Info","Mechanismus","Effekt","Massnahmen","Grad"
"J02AC02","Itraconazol","G04BD10","Darifenacin","Erhöhtes Risiko für anticholinerge Effekte","Darifenacin wird hauptsächlich durch die beiden CYP-Isoenzyme CYP3A4 und CYP2D6 metabolisiert, zudem ist P-Glykoprotein am Transport beteiligt. Itraconazol ist ein starker CYP-3A- und P-gp-Inhibitor, sodass der Abbau von Darifenacin gehemmt sein kann und erhöhte Arzneistoffkonzentrationen auftreten können.","Gemäss Schweizer Fachinformation ist die gleichzeitige Gabe von Darifenacin und starken CYP-3A4- bzw. starken P-Glykoprotein-Inhibitoren kontraindiziert. Da CYP3A4 nach Gabe höherer Dosen Darifenacin noch stärker am Metabolismus beteiligt zu sein scheint, ist anzunehmen, dass das Ausmass der unerwünschten Effekte in der Kombination starker CYP3A4-Inhibitoren mit einer Dosis von 15 mg Darifenacin ausgeprägter ist. Symptome anticholinerger Nebenwirkungen können Mundtrockenheit, Sehstörungen, Schwindel oder auch Tachycardie sein.","Die Kombination sollte vermieden werden. Muss sie gegeben werden, sollte eine niedrige Darifenacin-Dosis gegeben werden und eine engmaschige Monitorisierung bezüglich anticholinerger Nebenwirkungen durchgeführt werden.","D"
"J02AC04","Posaconazol","G04BD10","Darifenacin","Erhöhtes Risiko für anticholinerge Effekte","Darifenacin wird hauptsächlich durch die beiden CYP-Isoenzyme CYP3A4 und CYP2D6 metabolisiert, zudem ist P-Glykoprotein am Transport beteiligt. Posaconazol ist ein starker CYP3A4-Inhibitor  und hemmt auch P-gp, sodass der Abbau von Darifenacin gehemmt sein kann und erhöhte Arzneistoffkonzentrationen auftreten können.","Gemäss Schweizer Fachinformation ist die gleichzeitige Gabe von Darifenacin und starken CYP-3A4- bzw. starken P-Glykoprotein-Inhibitoren kontraindiziert. Da CYP3A4 nach Gabe höherer Dosen Darifenacin noch stärker am Metabolismus beteiligt zu sein scheint, ist anzunehmen, dass das Ausmass der unerwünschten Effekte in der Kombination starker CYP3A4-Inhibitoren mit einer Dosis von 15 mg Darifenacin ausgeprägter ist. Symptome anticholinerger Nebenwirkungen können Mundtrockenheit, Sehstörungen, Schwindel oder auch Tachycardie sein.","Die Kombination sollte vermieden werden. Muss sie gegeben werden, sollte eine niedrige Darifenacin-Dosis gegeben werden und eine engmaschige Monitorisierung bezüglich anticholinerger Nebenwirkungen durchgeführt werden.","D"
"J05AE02","Indinavir","G04BD10","Darifenacin","Erhöhtes Risiko für anticholinerge Effekte","Darifenacin wird hauptsächlich durch die beiden CYP-Isoenzyme CYP3A4 und CYP2D6 metabolisiert, P-Glykoprtotein ist am Transport beteiligt. Indinavir ist ein starker CYP3A4-Inhibitor  und hemmt auch CYP2D6 und P-Glykoprotein, sodass der Abbau von Darifenacin gehemmt sein kann und erhöhte Arzneistoffkonzentrationen auftreten können.","Gemäss Schweizer Fachinformation ist die gleichzeitige Gabe von Darifenacin und starken CYP-3A4-Inhibitoren bzw. starken P-Glykoprotein-Inhibitoren kontraindiziert. Da CYP3A4 nach Gabe höherer Dosen Darifenacin noch stärker am Metabolismus beteiligt zu sein scheint, ist anzunehmen, dass das Ausmass der unerwünschten Effekte in der Kombination starker CYP3A4-Inhibitoren mit einer Dosis von 15 mg Darifenacin ausgeprägter ist. Symptome anticholinerger Nebenwirkungen können Mundtrockenheit, Sehstörungen, Schwindel oder auch Tachycardie sein.","Die Kombination sollte vermieden werden. Muss sie gegeben werden, sollte eine niedrige Darifenacin-Dosis gegeben werden und eine engmaschige Monitorisierung bezüglich anticholinerger Nebenwirkungen durchgeführt werden.","D"
"J05AE03","Ritonavir","G04BD10","Darifenacin","Erhöhtes Risiko für anticholinerge Effekte","Darifenacin wird hauptsächlich durch die beiden CYP-Isoenzyme CYP3A4 und CYP2D6 metabolisiert, P-Glykoprotein ist am Transport beteiligt. Ritonavir ist ein starker CYP3A4- und CYP2D6-Inhibitor  und hemmt P-Glykoprotein, sodass der Abbau von Darifenacin gehemmt sein kann und erhöhte Arzneistoffkonzentrationen auftreten können.","Gemäss Schweizer Fachinformation ist die gleichzeitige Gabe von Darifenacin und starken CYP-3A4- bzw. P-Glykoprotein-Inhibitoren kontraindiziert. Da CYP3A4 nach Gabe höherer Dosen Darifenacin noch stärker am Metabolismus beteiligt zu sein scheint, ist anzunehmen, dass das Ausmass der unerwünschten Effekte in der Kombination starker CYP3A4-Inhibitoren mit einer Dosis von 15 mg Darifenacin ausgeprägter ist. Symptome anticholinerger Nebenwirkungen können Mundtrockenheit, Sehstörungen, Schwindel oder auch Tachycardie sein.","Die Kombination sollte vermieden werden. Muss sie gegeben werden, sollte eine niedrige Darifenacin-Dosis gegeben werden und eine engmaschige Monitorisierung bezüglich anticholinerger Nebenwirkungen durchgeführt werden.","D"
"J05AE01","Saquinavir","G04BD10","Darifenacin","Erhöhtes Risiko für anticholinerge Effekte","Darifenacin wird hauptsächlich durch die beiden CYP-Isoenzyme CYP3A4 und CYP2D6 metabolisiert,  P-Glykoprotein ist am Transport beteiligt. Saquinavir (geboostert mit Ritonavir) ist ein starker CYP3A4-Inhibitor  und hemmt auch CYP2D6 und P-Glykoprotein, sodass der Abbau von Darifenacin gehemmt sein kann und erhöhte Arzneistoffkonzentrationen auftreten können.","Gemäss Schweizer Fachinformation ist die gleichzeitige Gabe von Darifenacin und starken CYP-3A4- bzw. starken P-Glykoprotein-Inhibitoren kontraindiziert. Da CYP3A4 nach Gabe höherer Dosen Darifenacin noch stärker am Metabolismus beteiligt zu sein scheint, ist anzunehmen, dass das Ausmass der unerwünschten Effekte in der Kombination starker CYP3A4-Inhibitoren mit einer Dosis von 15 mg Darifenacin ausgeprägter ist. Symptome anticholinerger Nebenwirkungen können Mundtrockenheit, Sehstörungen, Schwindel oder auch Tachycardie sein.","Die Kombination sollte vermieden werden. Muss sie gegeben werden, sollte eine niedrige Darifenacin-Dosis gegeben werden und eine engmaschige Monitorisierung bezüglich anticholinerger Nebenwirkungen durchgeführt werden.","D"
"J05AE08","Atazanavir","G04BD10","Darifenacin","Erhöhtes Risiko für anticholinerge Effekte","Darifenacin wird hauptsächlich durch die beiden CYP-Isoenzyme CYP3A4 und CYP2D6 metabolisiert,  P-Glykoprtotein ist am Transport beteiligt. Atazanavir ist ein potenter CYP3A4-Inhibitor  und hemmt auch CYP2D6 und P-Glykoprotein, sodass der Abbau von Darifenacin gehemmt sein kann und erhöhte Arzneistoffkonzentrationen auftreten können.","Gemäss Schweizer Fachinformation ist die gleichzeitige Gabe von Darifenacin und starken CYP-3A4- bzw. starken P-Glykoprotein-Inhibitoren kontraindiziert. Da CYP3A4 nach Gabe höherer Dosen Darifenacin noch stärker am Metabolismus beteiligt zu sein scheint, ist anzunehmen, dass das Ausmass der unerwünschten Effekte in der Kombination starker CYP3A4-Inhibitoren mit einer Dosis von 15 mg Darifenacin ausgeprägter ist. Symptome anticholinerger Nebenwirkungen können Mundtrockenheit, Sehstörungen, Schwindel oder auch Tachycardie sein.","Die Kombination sollte vermieden werden. Muss sie gegeben werden, sollte eine niedrige Darifenacin-Dosis gegeben werden und eine engmaschige Monitorisierung bezüglich anticholinerger Nebenwirkungen durchgeführt werden.","D"
"J02AB02","Ketoconazol","G04BD10","Darifenacin","Erhöhtes Risiko für anticholinerge Effekte","Darifenacin wird hauptsächlich durch die beiden CYP-Isoenzyme CYP3A4 und CYP2D6 metabolisiert, P-Glykoprotein ist am Transport beteiligt. Ketoconazol ist ein starker CYP-3A- und P-gp-Inhibitor, sodass der Abbau von Darifenacin gehemmt sein kann und erhöhte Arzneistoffkonzentrationen auftreten können.","Gemäss Schweizer Fachinformation ist die gleichzeitige Gabe von Darifenacin und starken CYP-3A4- bzw. starken P-Glykoprotein-Inhibitoren kontraindiziert. In Kombination mit Ketoconazol kam es zu einer 9.5-fachen Erhöhung der mittleren Cmax-Konzentration von Darifenacin. Die gleichzeitige Gabe von 7,5 mg Darifenacin zusammen mit 400 mg Ketoconazol führte laut Fachinformation zu einer 5-fachen Erhöhung der Steady State-Exposition von Darifenacin. Da CYP3A4 nach Gabe höherer Dosen Darifenacin noch stärker am Metabolismus beteiligt zu sein scheint, ist anzunehmen, dass das Ausmass der unerwünschten Effekte in der Kombination starker CYP3A4-Inhibitoren mit einer Dosis von 15 mg Darifenacin noch ausgeprägter ist. Symptome anticholinerger Nebenwirkungen können Mundtrockenheit, Sehstörungen, Schwindel oder auch Tachycardie sein.","Die Kombination sollte vermieden werden. Muss sie gegeben werden, sollte eine möglichst niedrige Darifenacin-Dosis gegeben werden und eine engmaschige Monitorisierung bezüglich anticholinergen Nebenwirkungen durchgeführt werden.","D"
"N06AA01","Desipramin","G04BD02","Flavoxat","Verstärkte anticholinerge Effekte nicht ausgeschlossen","Unter gleichzeitiger Gabe von Flavoxat kann es möglicherweise zu einer Verstärkung der anticholinergen Effekte von trizyklischen Antidepressiva kommen. Flavoxat wirkt direkt muskelrelaxierend auf die glatte Muskulatur der unteren Harnwege, wobei der Wirkung wohl zum Teil ein kalziumantagonistischer Effekt zu Grunde liegt. Anticholinerge Wirkungen wurden für Flavoxat nicht klar nachgewiesen.","Gemäss Angaben des Herstellers kann Flavoxat möglicherweise die anticholinergen Effekte von trizyklischen Antidepressiva verstärken. Anticholinerge Symptome können u.a. Mundtrockenheit, trockene Augen, verschwommene Sicht, veränderter Harnverhalt, Obstipation, Tachykardie oder auch Hyperthermie sein.","Wird die Kombination aus einem trizyklischen Antidepressivum und Flavoxat gegeben, sollte sicherheitshalber bezüglich des verstärkten Auftretens anticholinerger Nebenwirkungen monitorisiert werden.","B"
"G04BD02","Flavoxat","N06AA01","Desipramin","Verstärkte anticholinerge Effekte nicht ausgeschlossen","Unter gleichzeitiger Gabe von Flavoxat kann es möglicherweise zu einer Verstärkung der anticholinergen Effekte von trizyklischen Antidepressiva kommen. Flavoxat wirkt direkt muskelrelaxierend auf die glatte Muskulatur der unteren Harnwege, wobei der Wirkung wohl zum Teil ein kalziumantagonistischer Effekt zu Grunde liegt. Anticholinerge Wirkungen wurden für Flavoxat nicht klar nachgewiesen.","Gemäss Angaben des Herstellers kann Flavoxat möglicherweise die anticholinergen Effekte von trizyklischen Antidepressiva verstärken. Anticholinerge Symptome können u.a. Mundtrockenheit, trockene Augen, verschwommene Sicht, veränderter Harnverhalt, Obstipation, Tachykardie oder auch Hyperthermie sein.","Wird die Kombination aus einem trizyklischen Antidepressivum und Flavoxat gegeben, sollte sicherheitshalber bezüglich des verstärkten Auftretens anticholinerger Nebenwirkungen monitorisiert werden.","B"
"N06AA02","Imipramin","G04BD02","Flavoxat","Verstärkte anticholinerge Effekte nicht ausgeschlossen","Unter gleichzeitiger Gabe von Flavoxat kann es möglicherweise zu einer Verstärkung der anticholinergen Effekte von trizyklischen Antidepressiva kommen. Flavoxat wirkt direkt muskelrelaxierend auf die glatte Muskulatur der unteren Harnwege, wobei der Wirkung wohl zum Teil ein kalziumantagonistischer Effekt zu Grunde liegt. Anticholinerge Wirkungen wurden für Flavoxat nicht klar nachgewiesen.","Gemäss Angaben des Herstellers kann Flavoxat möglicherweise die anticholinergen Effekte von trizyklischen Antidepressiva verstärken. Anticholinerge Symptome können u.a. Mundtrockenheit, trockene Augen, verschwommene Sicht, veränderter Harnverhalt, Obstipation, Tachykardie oder auch Hyperthermie sein.","Wird die Kombination aus einem trizyklischen Antidepressivum und Flavoxat gegeben, sollte sicherheitshalber bezüglich des verstärkten Auftretens anticholinerger Nebenwirkungen monitorisiert werden.","B"
"G04BD02","Flavoxat","N06AA02","Imipramin","Verstärkte anticholinerge Effekte nicht ausgeschlossen","Unter gleichzeitiger Gabe von Flavoxat kann es möglicherweise zu einer Verstärkung der anticholinergen Effekte von trizyklischen Antidepressiva kommen. Flavoxat wirkt direkt muskelrelaxierend auf die glatte Muskulatur der unteren Harnwege, wobei der Wirkung wohl zum Teil ein kalziumantagonistischer Effekt zu Grunde liegt. Anticholinerge Wirkungen wurden für Flavoxat nicht klar nachgewiesen.","Gemäss Angaben des Herstellers kann Flavoxat möglicherweise die anticholinergen Effekte von trizyklischen Antidepressiva verstärken. Anticholinerge Symptome können u.a. Mundtrockenheit, trockene Augen, verschwommene Sicht, veränderter Harnverhalt, Obstipation, Tachykardie oder auch Hyperthermie sein.","Wird die Kombination aus einem trizyklischen Antidepressivum und Flavoxat gegeben, sollte sicherheitshalber bezüglich des verstärkten Auftretens anticholinerger Nebenwirkungen monitorisiert werden.","B"
"N06AA04","Clomipramin","G04BD02","Flavoxat","Verstärkte anticholinerge Effekte nicht ausgeschlossen","Unter gleichzeitiger Gabe von Flavoxat kann es möglicherweise zu einer Verstärkung der anticholinergen Effekte von trizyklischen Antidepressiva kommen. Flavoxat wirkt direkt muskelrelaxierend auf die glatte Muskulatur der unteren Harnwege, wobei der Wirkung wohl zum Teil ein kalziumantagonistischer Effekt zu Grunde liegt. Anticholinerge Wirkungen wurden für Flavoxat nicht klar nachgewiesen.","Gemäss Angaben des Herstellers kann Flavoxat möglicherweise die anticholinergen Effekte von trizyklischen Antidepressiva verstärken. Anticholinerge Symptome können u.a. Mundtrockenheit, trockene Augen, verschwommene Sicht, veränderter Harnverhalt, Obstipation, Tachykardie oder auch Hyperthermie sein.","Wird die Kombination aus einem trizyklischen Antidepressivum und Flavoxat gegeben, sollte sicherheitshalber bezüglich des verstärkten Auftretens anticholinerger Nebenwirkungen monitorisiert werden.","B"
"G04BD02","Flavoxat","N06AA04","Clomipramin","Verstärkte anticholinerge Effekte nicht ausgeschlossen","Unter gleichzeitiger Gabe von Flavoxat kann es möglicherweise zu einer Verstärkung der anticholinergen Effekte von trizyklischen Antidepressiva kommen. Flavoxat wirkt direkt muskelrelaxierend auf die glatte Muskulatur der unteren Harnwege, wobei der Wirkung wohl zum Teil ein kalziumantagonistischer Effekt zu Grunde liegt. Anticholinerge Wirkungen wurden für Flavoxat nicht klar nachgewiesen.","Gemäss Angaben des Herstellers kann Flavoxat möglicherweise die anticholinergen Effekte von trizyklischen Antidepressiva verstärken. Anticholinerge Symptome können u.a. Mundtrockenheit, trockene Augen, verschwommene Sicht, veränderter Harnverhalt, Obstipation, Tachykardie oder auch Hyperthermie sein.","Wird die Kombination aus einem trizyklischen Antidepressivum und Flavoxat gegeben, sollte sicherheitshalber bezüglich des verstärkten Auftretens anticholinerger Nebenwirkungen monitorisiert werden.","B"
"N06AA05","Opipramol","G04BD02","Flavoxat","Verstärkte anticholinerge Effekte nicht ausgeschlossen","Unter gleichzeitiger Gabe von Flavoxat kann es möglicherweise zu einer Verstärkung der anticholinergen Effekte von trizyklischen Antidepressiva kommen. Flavoxat wirkt direkt muskelrelaxierend auf die glatte Muskulatur der unteren Harnwege, wobei der Wirkung wohl zum Teil ein kalziumantagonistischer Effekt zu Grunde liegt. Anticholinerge Wirkungen wurden für Flavoxat nicht klar nachgewiesen.","Gemäss Angaben des Herstellers kann Flavoxat möglicherweise die anticholinergen Effekte von trizyklischen Antidepressiva verstärken. Anticholinerge Symptome können u.a. Mundtrockenheit, trockene Augen, verschwommene Sicht, veränderter Harnverhalt, Obstipation, Tachykardie oder auch Hyperthermie sein.","Wird die Kombination aus einem trizyklischen Antidepressivum und Flavoxat gegeben, sollte sicherheitshalber bezüglich des verstärkten Auftretens anticholinerger Nebenwirkungen monitorisiert werden.","B"
"G04BD02","Flavoxat","N06AA05","Opipramol","Verstärkte anticholinerge Effekte nicht ausgeschlossen","Unter gleichzeitiger Gabe von Flavoxat kann es möglicherweise zu einer Verstärkung der anticholinergen Effekte von trizyklischen Antidepressiva kommen. Flavoxat wirkt direkt muskelrelaxierend auf die glatte Muskulatur der unteren Harnwege, wobei der Wirkung wohl zum Teil ein kalziumantagonistischer Effekt zu Grunde liegt. Anticholinerge Wirkungen wurden für Flavoxat nicht klar nachgewiesen.","Gemäss Angaben des Herstellers kann Flavoxat möglicherweise die anticholinergen Effekte von trizyklischen Antidepressiva verstärken. Anticholinerge Symptome können u.a. Mundtrockenheit, trockene Augen, verschwommene Sicht, veränderter Harnverhalt, Obstipation, Tachykardie oder auch Hyperthermie sein.","Wird die Kombination aus einem trizyklischen Antidepressivum und Flavoxat gegeben, sollte sicherheitshalber bezüglich des verstärkten Auftretens anticholinerger Nebenwirkungen monitorisiert werden.","B"
"N06AA06","Trimipramin","G04BD02","Flavoxat","Verstärkte anticholinerge Effekte nicht ausgeschlossen","Unter gleichzeitiger Gabe von Flavoxat kann es möglicherweise zu einer Verstärkung der anticholinergen Effekte von trizyklischen Antidepressiva kommen. Flavoxat wirkt direkt muskelrelaxierend auf die glatte Muskulatur der unteren Harnwege, wobei der Wirkung wohl zum Teil ein kalziumantagonistischer Effekt zu Grunde liegt. Anticholinerge Wirkungen wurden für Flavoxat nicht klar nachgewiesen.","Gemäss Angaben des Herstellers kann Flavoxat möglicherweise die anticholinergen Effekte von trizyklischen Antidepressiva verstärken. Anticholinerge Symptome können u.a. Mundtrockenheit, trockene Augen, verschwommene Sicht, veränderter Harnverhalt, Obstipation, Tachykardie oder auch Hyperthermie sein.","Wird die Kombination aus einem trizyklischen Antidepressivum und Flavoxat gegeben, sollte sicherheitshalber bezüglich des verstärkten Auftretens anticholinerger Nebenwirkungen monitorisiert werden.","B"
"G04BD02","Flavoxat","N06AA06","Trimipramin","Verstärkte anticholinerge Effekte nicht ausgeschlossen","Unter gleichzeitiger Gabe von Flavoxat kann es möglicherweise zu einer Verstärkung der anticholinergen Effekte von trizyklischen Antidepressiva kommen. Flavoxat wirkt direkt muskelrelaxierend auf die glatte Muskulatur der unteren Harnwege, wobei der Wirkung wohl zum Teil ein kalziumantagonistischer Effekt zu Grunde liegt. Anticholinerge Wirkungen wurden für Flavoxat nicht klar nachgewiesen.","Gemäss Angaben des Herstellers kann Flavoxat möglicherweise die anticholinergen Effekte von trizyklischen Antidepressiva verstärken. Anticholinerge Symptome können u.a. Mundtrockenheit, trockene Augen, verschwommene Sicht, veränderter Harnverhalt, Obstipation, Tachykardie oder auch Hyperthermie sein.","Wird die Kombination aus einem trizyklischen Antidepressivum und Flavoxat gegeben, sollte sicherheitshalber bezüglich des verstärkten Auftretens anticholinerger Nebenwirkungen monitorisiert werden.","B"
"N06AA08","Dibenzepin","G04BD02","Flavoxat","Verstärkte anticholinerge Effekte nicht ausgeschlossen","Unter gleichzeitiger Gabe von Flavoxat kann es möglicherweise zu einer Verstärkung der anticholinergen Effekte von trizyklischen Antidepressiva kommen. Flavoxat wirkt direkt muskelrelaxierend auf die glatte Muskulatur der unteren Harnwege, wobei der Wirkung wohl zum Teil ein kalziumantagonistischer Effekt zu Grunde liegt. Anticholinerge Wirkungen wurden für Flavoxat nicht klar nachgewiesen.","Gemäss Angaben des Herstellers kann Flavoxat möglicherweise die anticholinergen Effekte von trizyklischen Antidepressiva verstärken. Anticholinerge Symptome können u.a. Mundtrockenheit, trockene Augen, verschwommene Sicht, veränderter Harnverhalt, Obstipation, Tachykardie oder auch Hyperthermie sein.","Wird die Kombination aus einem trizyklischen Antidepressivum und Flavoxat gegeben, sollte sicherheitshalber bezüglich des verstärkten Auftretens anticholinerger Nebenwirkungen monitorisiert werden.","B"
"G04BD02","Flavoxat","N06AA08","Dibenzepin","Verstärkte anticholinerge Effekte nicht ausgeschlossen","Unter gleichzeitiger Gabe von Flavoxat kann es möglicherweise zu einer Verstärkung der anticholinergen Effekte von trizyklischen Antidepressiva kommen. Flavoxat wirkt direkt muskelrelaxierend auf die glatte Muskulatur der unteren Harnwege, wobei der Wirkung wohl zum Teil ein kalziumantagonistischer Effekt zu Grunde liegt. Anticholinerge Wirkungen wurden für Flavoxat nicht klar nachgewiesen.","Gemäss Angaben des Herstellers kann Flavoxat möglicherweise die anticholinergen Effekte von trizyklischen Antidepressiva verstärken. Anticholinerge Symptome können u.a. Mundtrockenheit, trockene Augen, verschwommene Sicht, veränderter Harnverhalt, Obstipation, Tachykardie oder auch Hyperthermie sein.","Wird die Kombination aus einem trizyklischen Antidepressivum und Flavoxat gegeben, sollte sicherheitshalber bezüglich des verstärkten Auftretens anticholinerger Nebenwirkungen monitorisiert werden.","B"
